(0,0)	0
(0,1)	0
(0,2)	0
(0,3)	0
(0,4)	0
(0,5)	0
(0,6)	0
(0,7)	0
(0,8)	0
(0,9)	0
(0,10)	0
(0,11)	0
(0,12)	0
(0,13)	0
(0,14)	0
(0,15)	0
(0,16)	0
(0,17)	0
(0,18)	0
(0,19)	0
(1,0)	0
(1,1)	0
(1,2)	0
(1,3)	0
(1,4)	0
(1,5)	0
(1,6)	0
(1,7)	0
(1,8)	0
(1,9)	0
(1,10)	2
(1,11)	1
(1,12)	0
(1,13)	0
(1,14)	0
(1,15)	0
(1,16)	0
(1,17)	0
(1,18)	0
(1,19)	0
(2,0)	0
(2,1)	0
(2,2)	0
(2,3)	0
(2,4)	0
(2,5)	0
(2,6)	0
(2,7)	2
(2,8)	0
(2,9)	4
(2,10)	1
(2,11)	3
(2,12)	4
(2,13)	9
(2,14)	1
(2,15)	0
(2,16)	0
(2,17)	0
(2,18)	0
(2,19)	0
(3,0)	0
(3,1)	0
(3,2)	0
(3,3)	0
(3,4)	0
(3,5)	1
(3,6)	17
(3,7)	3
(3,8)	5
(3,9)	12
(3,10)	3
(3,11)	6
(3,12)	11
(3,13)	15
(3,14)	23
(3,15)	17
(3,16)	0
(3,17)	0
(3,18)	0
(3,19)	0
(4,0)	0
(4,1)	0
(4,2)	0
(4,3)	0
(4,4)	0
(4,5)	0
(4,6)	4
(4,7)	1
(4,8)	2
(4,9)	2
(4,10)	1
(4,11)	4
(4,12)	12
(4,13)	24
(4,14)	23
(4,15)	30
(4,16)	31
(4,17)	1
(4,18)	0
(4,19)	0
(5,0)	0
(5,1)	0
(5,2)	0
(5,3)	0
(5,4)	15
(5,5)	1
(5,6)	12
(5,7)	4
(5,8)	6
(5,9)	7
(5,10)	13
(5,11)	20
(5,12)	12
(5,13)	13
(5,14)	27
(5,15)	19
(5,16)	22
(5,17)	12
(5,18)	0
(5,19)	0
(6,0)	0
(6,1)	0
(6,2)	0
(6,3)	0
(6,4)	3
(6,5)	2
(6,6)	7
(6,7)	0
(6,8)	6
(6,9)	12
(6,10)	18
(6,11)	7
(6,12)	17
(6,13)	23
(6,14)	20
(6,15)	12
(6,16)	18
(6,17)	30
(6,18)	1
(6,19)	0
(7,0)	0
(7,1)	0
(7,2)	0
(7,3)	18
(7,4)	25
(7,5)	1
(7,6)	11
(7,7)	6
(7,8)	15
(7,9)	8
(7,10)	6
(7,11)	22
(7,12)	22
(7,13)	13
(7,14)	12
(7,15)	16
(7,16)	28
(7,17)	71
(7,18)	22
(7,19)	0
(8,0)	0
(8,1)	0
(8,2)	1
(8,3)	6
(8,4)	11
(8,5)	2
(8,6)	12
(8,7)	5
(8,8)	8
(8,9)	9
(8,10)	10
(8,11)	17
(8,12)	8
(8,13)	10
(8,14)	17
(8,15)	38
(8,16)	46
(8,17)	19
(8,18)	9
(8,19)	0
(9,0)	0
(9,1)	0
(9,2)	2
(9,3)	19
(9,4)	22
(9,5)	10
(9,6)	11
(9,7)	3
(9,8)	13
(9,9)	10
(9,10)	13
(9,11)	23
(9,12)	16
(9,13)	11
(9,14)	27
(9,15)	35
(9,16)	33
(9,17)	27
(9,18)	153
(9,19)	0
(10,0)	0
(10,1)	0
(10,2)	4
(10,3)	10
(10,4)	15
(10,5)	5
(10,6)	10
(10,7)	13
(10,8)	13
(10,9)	15
(10,10)	19
(10,11)	14
(10,12)	10
(10,13)	34
(10,14)	32
(10,15)	26
(10,16)	19
(10,17)	28
(10,18)	36
(10,19)	0
(11,0)	0
(11,1)	0
(11,2)	4
(11,3)	28
(11,4)	19
(11,5)	7
(11,6)	15
(11,7)	10
(11,8)	26
(11,9)	13
(11,10)	15
(11,11)	25
(11,12)	23
(11,13)	31
(11,14)	21
(11,15)	15
(11,16)	23
(11,17)	33
(11,18)	17
(11,19)	0
(12,0)	0
(12,1)	0
(12,2)	1
(12,3)	28
(12,4)	17
(12,5)	6
(12,6)	16
(12,7)	15
(12,8)	16
(12,9)	12
(12,10)	13
(12,11)	18
(12,12)	39
(12,13)	8
(12,14)	15
(12,15)	28
(12,16)	38
(12,17)	50
(12,18)	24
(12,19)	0
(13,0)	0
(13,1)	0
(13,2)	0
(13,3)	9
(13,4)	10
(13,5)	13
(13,6)	12
(13,7)	16
(13,8)	8
(13,9)	11
(13,10)	24
(13,11)	29
(13,12)	11
(13,13)	15
(13,14)	30
(13,15)	24
(13,16)	51
(13,17)	68
(13,18)	2
(13,19)	0
(14,0)	0
(14,1)	0
(14,2)	0
(14,3)	2
(14,4)	25
(14,5)	11
(14,6)	24
(14,7)	12
(14,8)	30
(14,9)	28
(14,10)	21
(14,11)	16
(14,12)	18
(14,13)	28
(14,14)	29
(14,15)	38
(14,16)	38
(14,17)	27
(14,18)	0
(14,19)	0
(15,0)	0
(15,1)	0
(15,2)	0
(15,3)	0
(15,4)	10
(15,5)	10
(15,6)	13
(15,7)	16
(15,8)	36
(15,9)	22
(15,10)	10
(15,11)	17
(15,12)	12
(15,13)	26
(15,14)	40
(15,15)	32
(15,16)	33
(15,17)	4
(15,18)	0
(15,19)	0
(16,0)	0
(16,1)	0
(16,2)	0
(16,3)	0
(16,4)	0
(16,5)	10
(16,6)	23
(16,7)	30
(16,8)	14
(16,9)	17
(16,10)	12
(16,11)	28
(16,12)	36
(16,13)	50
(16,14)	50
(16,15)	44
(16,16)	4
(16,17)	0
(16,18)	0
(16,19)	0
(17,0)	0
(17,1)	0
(17,2)	0
(17,3)	0
(17,4)	0
(17,5)	0
(17,6)	15
(17,7)	9
(17,8)	8
(17,9)	17
(17,10)	20
(17,11)	33
(17,12)	44
(17,13)	44
(17,14)	24
(17,15)	1
(17,16)	0
(17,17)	0
(17,18)	0
(17,19)	0
(18,0)	0
(18,1)	0
(18,2)	0
(18,3)	0
(18,4)	0
(18,5)	0
(18,6)	0
(18,7)	0
(18,8)	7
(18,9)	12
(18,10)	14
(18,11)	17
(18,12)	19
(18,13)	5
(18,14)	0
(18,15)	0
(18,16)	0
(18,17)	0
(18,18)	0
(18,19)	0
(19,0)	0
(19,1)	0
(19,2)	0
(19,3)	0
(19,4)	0
(19,5)	0
(19,6)	0
(19,7)	0
(19,8)	0
(19,9)	0
(19,10)	0
(19,11)	0
(19,12)	0
(19,13)	0
(19,14)	0
(19,15)	0
(19,16)	0
(19,17)	0
(19,18)	0
(19,19)	0
count	121
